"abbr";"layer";"taxon";186;191;487;975;968;970;976;488;12;845;79;14;183;85;90;489;89;974;507;583;54;756;548;28;684;484;748;597;612;82;47;759;60;57;53;37;36;55;48;95;783;735;731;732;734;105;"AN";108;"AP";111;112;106;109;838;667;490;614;659;660;722;695;828;611;683;654;670;630;492;898;"C15";"C14";"C19";994;482;483;900;104;625;626;717;579;594;448;899;568;569;570;866;592;601;578;534;565;577;533;978;125;903;702;449;656;114;602;644;527;651;526;122;703;1029;"C21";"C18";"C24";"C13";"C20";652;653;101;127;97;478;926;1031;121;120
"abie alba";"tl";"Abies alba B ";;;;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"abie alba";"hl";"Abies alba K";;;;;;;;;"r";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;;;;;;;;;"r";;"+";;"r";;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"abie alba";"sl";"Abies alba S";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;
"acer camp";"tl";"Acer campestre B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;3;2;;;;;;2;"+";"+";;"+";;"+";2;;;1;;;;;;;"+";;;"+";;;;;;;;;;1;;;;;;;;;;
"acer camp";"hl";"Acer campestre K";"+";;;"+";;;"+";;;;;;;"r";;"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;"+";;;"+";;;"+";1;;"+";;;;"+";"+";"+";"+";"+";;"+";"+";;1;1;;;;;;;"+";;;"+";;;;;;"+";"+";;;"+";;;;;;;;;;
"acer camp";"sl";"Acer campestre S";;;;;;;;;;;;;"r";;;;;;"+";;"+";;;;;;;;;"r";;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;2;"+";;"+";1;;;;;;;;;;;;;;;;"+";;;;;;"r";;;;1;;;;;;;;;;
"acer plat";"tl";"Acer platanoides B";;;;;;;;;;;;3;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;3;;1;;1;"+";;;;;;2;2;;;;;;1;;;"+";;2;;;;;
"acer plat";"hl";"Acer platanoides K";;;;;;;;;;"+";;;"+";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";"r";"r";;"r";;;1;;;;1;;"r";;;;;;1;;;;"+";;;;;;;;;"+";;"+";;1;;;;;;"+";;;"+";"+";;;;2;;;;;"+";"+";;"+";"+";"+"
"acer plat";"sl";"Acer platanoides S";;;;;;;;;"+";"+";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;"r";;;;;;;;;;"+";"r";;;;;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;"+";;;;;;1;;;;;;;;"r";;"+"
"acer pseu";"tl";"Acer pseudoplatanus B";2;;3;;2;3;;;3;2;3;;2;1;2;1;3;;1;;2;1;;3;2;4;3;2;2;1;4;2;2;"+";2;;2;3;1;2;2;4;2;2;2;3;3;3;3;2;3;3;3;3;;2;;2;2;;2;2;3;"+";2;"+";2;2;1;2;1;2;;2;1;1;;;;3;;2;2;;1;3;;3;2;2;;2;2;;3;;2;3;2;2;2;3;2;2;2;1;2;3;2;2;2;;"+";2;;;;3;2;1;1;2;2;2;2
