"plot";"table.order";"alliance";"association";"variant";"observer";"pls";"elevation";"expo";"slope";"cov";"scov";"hcov";"mcov";"latitude";"longitude";"accuracy";"location";"date"
"10";1;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"25";"655";"360";"75";"95";"30";"80";"10";"47.703664";"12.807430";100;"Gebersberg, oberhalb Parkplatz, Fels mit Humusauflage";"2002-09-18"
"11";2;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"25";"644";"360";"50";"95";"30";"90";"5";"47.702166";"12.803192";200;"Gebersberg, Reibwände beim Klettersteig, 1m unterhalb der Felswand, humöser Schutt";"2002-09-18"
"13";3;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"10";"680";"360";"80";"80";"50";"60";"20";"47.702166";"12.803192";200;"Gebersberg, oberhalb Aufnahme 11, am Fels";"2002-09-18"
"9";4;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"25";"645";"330";"50";"45";"20";"20";"10";"47.702166";"12.803192";200;"Gebersberg, 100m östlich des Klettersteiges, alte Schuttrinne";"2002-07-31"
"201";5;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Kaiser 1983";"80";"1230";"338";"40";;"85";"90";"3";"47.775098";"13.431129";4000;"Schafberg";
"202";6;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Kaiser 1983";"100";"910";"45";"40";;"85";"95";"30";"47.775098";"13.431129";4000;"Schafberg";
"203";7;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Kaiser 1983";"100";"1360";;;;"95";"40";"10";"47.775098";"13.431129";4000;"Schafberg";
"12";8;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"25";"668";"360";"50";"95";"80";"30";"30";"47.702166";"12.803192";200;"Gebersberg, 10m westlich Aufnahme 11, unter der Felswand, grobe Steinblöcke";"2002-09-18"
"15";9;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"100";"680";"360";"80";"95";"80";"35";"5";"47.702166";"12.803192";200;"Gebersberg, westlich Aufnahme 14, neben Schuttrinne, unterhalb der Felswand";"2002-09-18"
"200";10;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Kaiser 1983";"65";"670";"180";"45";;"45";"90";"3";"47.775098";"13.431129";4000;"Schafberg";
"18";11;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Valeriana tripteris";"Eckkrammer 2003";"25";"678";"300";"60";"90";"70";"70";"5";"47.702166";"12.803192";200;"Gebersberg, Reibwände, 10 m oberhalb des Weges, östlich Aufnahme 17";"2002-09-18"
"243";12;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Initialgesellschaft von Ausb. mit Erica carnea";"Lippert 1966";"50";"1390";"45";"40";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"241";13;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Initialgesellschaft von Ausb. mit Erica carnea";"Lippert 1966";"20";"1380";"360";"10";"60";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"242";14;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Initialgesellschaft von Ausb. mit Erica carnea";"Lippert 1966";"150";"1020";"45";"10";"70";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"227";15;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1250";"360";"5";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
