taxon;matched.taxon;abbr
Elyna myosuroides;Kobresia myosuroides;kobr myos
Campanula tatrae;Campanula tatrae s.lat;camp tatr slat
Dactylina madreporiformis;Allocetraria madreporiformis;allo madr
Rhodiola rosea;Rhodiola rosea;rhod rose a
Oxytropis halleri;Oxytropis halleri s.lat;oxyt hall slat
Primula minima;Primula minima;prim mini
Ligusticum mutettinoides;Pachypleurum mutellinoides;pach mute
Agrostis alpina;Agrostis alpina s.str.;agro alpi
Thymus alpestris;Thymus alpestris;thym alpe
Carex fuliginosa;Carex fuliginosa;care fuli
Poa alpina;Poa alpina;poa alpi
Oxytropis carpatica;Oxytropis carpatica;oxyt carp
Luzula mutabilis;Luzula spicata ssp. conglomerata;luzu spic cong
NA;NA;NA
Androsace chamaejasme;Androsace chamaejasme;andr cham
Cerastium eriophorum;Cerastium eriophorum;cera erio
Minuartia sedoides;Minuartia sedoides;minu sedo
Saxifraga paniculata;Saxifraga paniculata;saxi pani
Arenaria tenella;Arenaria tenella;aren tene
Antennaria carpatica;Antennaria carpatica;ante carp
Draba aizoides;Draba aizoides ssp. zmudae;drab aizo zmud
NA;NA;NA
Carex capilaris;Carex capillaris;care capi
Saxifraga oppositifolia;Saxifraga oppositifolia s.lat.;saxi oppo slat
Myosotis alpestris;Myosotis alpestris;myos alpe
Kobresia simpliciuscula;Kobresia simpliciuscula;kobr simp
Carex atrata;Carex atrata;care atra
Sedum atratum;Sedum atratum s.lat.;sedu atra slat
NA;NA;NA
Lloydia serotina;Lloydia serotina;lloy sero
Comastoma tenellum;Comastoma tenellum;coma tene
Pedicularis oederi;Pedicularis oederi;pedi oede
Minuartia gerardii;Minuartia gerardii;minu gera
Aster alpinus;Aster alpinus;aste alpi
Gentiana nivalis;Gentiana nivalis;gent niva
Draba fladnizensis;Draba fladnizensis;drab flad
Erigeron hungaricus;Erigeron hungaricus;erig hung
Saussurea alpina;Saussurea alpina;saus alpi
Astragalus alpinus;Astragalus alpinus;astr alpi alpi
Dryas octopetala;Dryas octopetala;drya octo
NA;NA;NA
Bistorta vivipara;Persicaria vivipara;pers vivi
Silene acaulis;Silene acaulis s.lat.;sile acau slat
Thamnolia vermicularis;Thamnolia vermicularis var. vermicularis;tham verm verm
Rhodax alpestris;Helianthemum alpestre;heli alpe
Vulpicida tubulosus;Vulpicida tubulosus;vulp tubu
Alectoria ochroleuca;Alectoria ochroleuca;alec ochr
Carex firma;Carex firma;care firm
Ranunculus alpestris;Ranunculus alpestris s.str.;ranu alpe
Saxifraga aizoides;Saxifraga aizoides;saxi aizo
