taxon;matched.taxon;abbr
Loiseleuria procumbens;Loiseleuria procumbens;lois proc
Carex bigelowii ssp. rigida;Carex bigelowii;care bige
Oreochloa disticha;Oreochloa disticha;oreo dist
Juncus trifidus;Juncus trifidus s.str.;junc trif
Campanula alpina;Campanula alpina;camp alpi
Vaccinium gaultherioides;Vaccinium gaultherioides;vacc gaul
Vaccinium vitis idaea;Vaccinium vitis-idaea;vacc viti
Homogyne alpina;Homogyne alpina;homo alpi
Avenella flexuosa;Avenella flexuosa;aven flex flex
Phyteuma confusum;Phyteuma confusum;phyt conf
Leontodon helveticus;Scorzoneroides helvetica;scor helv
Hieracium alpinum;Hieracium alpinum;hier alpi
Calluna vulgaris;Calluna vulgaris;call vulg
Pulsatilla alpina ssp. austriaca;Pulsatilla alpina ssp. alba;puls alpi alba
Phyteuma hemisphaericum;Phyteuma hemisphaericum;phyt hemi
Valeriana celtica ssp. norica;Valeriana celtica ssp. norica;vale celt nori
Carex curvula ssp. curvula;Carex curvula ssp. curvula;care curv curv
Primula minima;Primula minima;prim mini
Saponaria pumila;Saponaria pumila;sapo pumi
Luzula alpino pilosa;Luzula alpinopilosa s.str.;luzu alpi losa
Avenula versicolor;Avenula versicolor;aven vers
Euphrasia minima;Euphrasia minima s.str.;euph mini
Senecio incanus ssp. carniolicus;Senecio incanus ssp. carniolicus;sene inca carn
Agrostis rupestris;Agrostis rupestris;agro rupe rupe
Carex sempervirens;Carex sempervirens ssp. sempervirens;care semp semp
Campanula barbata ssp. barbata;Campanula barbata ssp. barbata;camp barb barb
Carex nigra;Carex nigra;care nigr
Potentilla aurea;Potentilla aurea;pote aure
Trichophorum cespitosum;Trichophorum cespitosum ssp. cespitosum;tric cesp cesp
Polytrichum alpinum;Polytrichum alpinum;poly alpi
Polytrichum sp.;Polytrichum sp.;poly spec ies
Polytrichum perigoniale;Polytrichum perigoniale;poly peri
Cetraria islandica;Cetraria islandica ssp. islandica;cetr isla isla
Alectoria ochroleuca;Alectoria ochroleuca;alec ochr
Cladonia rangiferina;Cladonia rangiferina;clad rang
Thamnolia vermiculans;Thamnolia vermicularis var. vermicularis;tham verm verm
Cetraria cucullata;Flavocetraria cucullata;flav cucu
Cetraria ericetorum;Cetraria ericetorum;cetr eric
