taxon;matched.taxon;abbr
Cladonia coccifera;Cladonia coccifera;clad cocc
Polytrichum piliferum;Polytrichum piliferum;poly pili
Nardus stricta;Nardus stricta;nard stri
Leontodon croceus;Scorzoneroides crocea s.str.;scor croc
Agrostis schraderiana;Agrostis agrostiflora;agro agro
Pulsatilla vernalis;Pulsatilla vernalis;puls vern
Nardus stricta;Nardus stricta;nard stri
Selaginella selaginoides;Selaginella selaginoides;sela sela
Solorina crocea;Solorina crocea;solo croc
Cetraria nivalis;Flavocetraria nivalis;flav niva
Luzula spicata;Luzula spicata s.lat.;luzu spic slat
Arnica montana;Arnica montana;arni mont
Anthoxanthum odoratum;Anthoxanthum odoratum s.str.;anth odor
Festuca pseudodura;Festuca pseudodura;fest pseu dura
Festuca pseudodura;Festuca pseudodura;fest pseu dura
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Polytrichum piliferum;Polytrichum piliferum;poly pili
Oxytropis campestris;Oxytropis campestris ssp. campestris;oxyt camp camp
Carex sp.;Carex sp.;care spec ies
Carex brunnescens;Carex brunnescens;care brun slat
Eriophorum vaginatum;Eriophorum vaginatum;erio vagi
Luzula sudetica;Luzula sudetica;luzu sude
Dicranum scoparium;Dicranum scoparium;dicr scop
Cetraria prunastri;Evernia prunastri;ever prun
Cladonia coccifera;Cladonia coccifera;clad cocc
Dicranum scoparium;Dicranum scoparium;dicr scop
