plot,plot.alternate,epsg,x,y,accuracy,date,observer,location,municipality,elevation,expo,slope,relief,bedrock,pls,t1cov,t2cov,scov,hcov,mcov,whh,soiltype,humustype,pH A,pH B,forest type,type,comment1,comment2,comment3,pls,cover.saplings,cover.dwarf shrubs,cover.grasses,cover.herbs,cover.ferns,cover.tall.herbs
3003,aa3003,EPSG:31257,230248,234283,200,1998-08-04,3,Sillschlucht westlich Gluirsch,Innsbruck,620,150,90,HVS,SiKa,0,70,20,20,70,3,fr,BrBr,moMu,,,ZE6Eca,CARITILI,,,,,0,0,50,30,0,0
3004,3004,EPSG:31257,230409,233827,200,1998-08-04,3,Sillschlucht südwestl. Gluirsch,Innsbruck,640,125,75,MH,SiKa,0,85,20,30,80,25,fr,PaRe,tyMu,,,ZE6Eca,CARITILI,,Übergang zu Arunco-Tilietum!,,,15,0,20,65,10,0
3033,3033,EPSG:31257,231108,233522,200,1998-09-01,3,Vill-Goarmbichl,Innsbruck,830,200,90,MH,MoKa,0,80,10,40,35,0,mfr,PaRe,tyMu,,,wE6Ecw,CARITILI,,Carici albae-Tilietum; Ica* - Stieleichenausbildung (typisch?); seit 2002 Naturdenkmal,,,10,0,25,15,0,0
3034,3034,EPSG:31257,227211,235128,1000,1998-09-09,3,Untere Figge (westl. Huter),Innsbruck,600,0,75,MH,MoMi,0,90,10,35,75,3,fr,BrLl,tyMu,,,ZE2Qmi,MILIQUER,,"Qro-Winterlindenausbildung; Überg. zu erosivem  Arunco-Tilietum cordatae, Grabeneinhang-Kessel? eingelagert Quellbach mit Grauerle; Biotopfläche in Völs ""Untere Figge""",,,10,0,10,65,3,0
6001,6001,EPSG:31257,229585,237738,200,1998-07-30,6,über Steinbruchstraße,Innsbruck,710,200,40,MH,HaIn,0,50,20,30,40,5,mfr,BrBr,Mu,,,ZE6Eca,CARITILI,,auf Moräne,,,20,0,5,15,0,0
6004,6004,EPSG:31257,230159,238242,200,1998-07-31,6,unter Ölberg,Innsbruck,670,175,85,MH,HaKa,0,0,0,0,0,0,mfr,Re,Mu,,,ZE6Eca,CARITILI,,auf Kalk,,,0,0,0,0,0,0
6005,6005,EPSG:31257,230455,238727,300,1998-07-31,6,bei Sprengerkreuz,Innsbruck,730,175,70,OH,MoMi,0,0,0,0,0,0,mfr,BrLl,Mu,,,ZE6Eca,CARITILI,,auf Moräne,,,0,0,0,0,0,0
6009,6009,EPSG:31257,232128,239273,250,1998-08-06,6,Finkenberg bei Mühlau,Innsbruck,690,125,60,MH,MoMi,0,80,3,25,70,1,mfr,BrBr,Mu,,,ZE6Eca,CARITILI,,auf Moräne,,,40,15,3,15,0,0
9005,9005,EPSG:31257,223625,237220,50,1995-06-21,12,"Hofwald, über Steig zum Hechenberg",Innsbruck,820,200,85,OH,Ka,0,40,0,50,55,10,mfr,Re,Mu,,,ZE6Eca,CARITILI,,Eichen-Linden-Mischwald auf Kalk,,,0,0,0,0,0,0
ABS01,ABS01,EPSG:31257,239209,240812,50,2003-09-10,119,Absam-Melans bei Autospenglerei,Absam,640,210,20,TA,MoIn,250,70,15,40,55,1,fr,,tyMu,7.94,8.16,ZE2Qmi,CARITILI,"Carici albae-Tilietum, frisch??",,,250,25,0,2,0,0,4
AMP01,AMP01,EPSG:31257,234820,236241,50,2003-08-03,119,"Ampaß Pfarrkirche, Hügel an der Straße Aldrans-Ampaß",Ampass,735,120,65,OH,MoK-,200,40,0,40,40,10,mfr,BrLl,tyMu,6.50?,7.24?,wE6Ecw,CARITILI,Carici albae-Tilietum??,"angrenzend Wiesen bzw Halbtrockenrasen, Einfluß von dort, zT ev. Teil der Fläche eine zugewachsene Wiese??",,200,5,0,15,0,0,0
AMP02,AMP02,EPSG:31257,234952,236123,50,2003-08-25,119,Naturwaldreservat Ampaß,Ampass,730,80,60,MH,MoK-,400,85,7,20,60,3,mtr,,tyMu,,7.68,ZE6Eca,CARITILI,,,,400,3,0,25,0,0,0
AMP03,AMP03,EPSG:31257,234937,236065,50,2003-08-25,119,Naturwaldzelle Ampaß,Ampass,720,120,75,MH,MoK-,350,70,20,10,65,7,mtr,KaBL,tyMu,6.56,7.84,wE6Ecw,CARITILI,steht zw. Lathyr.=Luzulo niv.-Q. und Carici-Tilietum,mäßig Verbiß,,350,5,0,30,0,0,0
BAU02,BAU02,EPSG:31257,242132,240322,50,2003-05-23,119,Haselfeld,Baumkirchen,575,175,75,MH,MoIn,400,55,0,65,35,1,fr,BrLl,tyMu,6.38,6.50,ZE2Qmi,CARITILI,"Carici albae-Tilietum, frisch??",,,400,0,0,20,0,0,0
BRI01,BRI01,EPSG:31258,340523,255666,50,2003-09-04,119,Mariahilfbergerl,Brixlegg,610,140,100,OH,Ka-,250,25,35,45,20,3,mtr,,,7.23,,wE6Ecw,CARITILI,,,,250,5,0,8,0,0,0
EBEN,,EPSG:31257,307285,257460,50,,,"Eben, östlich Badhaussiedlung",Kitzbühel,,,,,,,,,,,,,,,,,wE1Qlu,GENIQUER,,,,,,,,,,
EBENP01,EBENP01,EPSG:31257,191938,229910,50,2003-09-13,119,Ebenpuit/Ötztal,Oetz,810,170,70,MH,SiS-,350,65,10,10,80,8,mtr,,tyMu,,,wE3Qbr,LATHQUER,,sehr wenig Strauchschicht,,350,5,0,35,0,1,0
EICHIG01,EICHIG01,EPSG:31257,163956,222190,50,2003-09-05,119,Eichig,Grins,990,170,45,HVS,SiB+,400,50,7,15,75,1,mtr,,tyMu,5.41,5.01,wE3Qbr,LATHQUER,,,,400,15,0,55,0,0,0
EICHIG02,EICHIG02,EPSG:31257,163865,222119,50,2003-09-05,119,Eichig,Grins,970,170,90,MH,SiB+,350,65,0,20,65,2,mtr,,,6.93,5.88?,wE3Qbr,LATHQUER,,,,350,5,0,40,0,1,0
FRI01,FRI01,EPSG:31257,246265,241922,50,2003-05-23,119,"Fritzens, Aichberg Süd",Fritzens,580,195,75,OH,MoIn,300,60,0,60,25,1,fr,BrLl,tyMu,6.08,4.89,ZE2Qmi,MILIQUER,,,zT vom Wild beeinflußt,300,1,0,1,0,2,3
GAS01,GAS01,EPSG:31257,240238,237590,50,2003-08-04,119,"Kienberg-Zimmertal, unterer Waldrand entlang Straße",Ampass,735,130,65,UH,MoIn,300,7,35,50,25,15,mtr,,,4.20?,4.68?,wE1Qlu,GENIQUER,eher schon zu Genisto-Quercetum?,leichte etwas ausgedehnte Waldrandsituation,,300,3,0,12,0,0,0
GWABL01,GWABL01,EPSG:31258,399509,193869,50,2003-09-18,119,Unterhalb Gwabl,Ainet,910,160,90,MH,SiIn,250,65,10,20,30,5,mtr,,,4.80,4.81,wE3Qbr,LATHQUER,,,,250,3,0,8,0,5,2
HABICH01,HABICH01,EPSG:31257,193799,228489,50,2003-09-13,119,Oberhalb Habichen,Oetz,920,240,120,HVS,SiS-,250,15,35,25,15,75,mtr,,,4.85,,wE3Qbr,LATHQUER,,Felsbestockung,,250,3,1,5,0,1,0
HO01,HO01,EPSG:31258,361251,257787,50,2003-09-27,3,Tongrube Hopfgarten,Hopfgarten i.B.,640,300,70,HVS,KiI+,400,85,5,40,35,1,fr,BrLl,tyMu,4.94,4.63,ZE2Qmi,MILIQUER,"Milio-Quercetum roboris;  Westendorf: bis ca. 800 m Stieleichen mit Bergahorn, Esche und Bergulme, Geum urbanum, Lami mont, Asar europ, Paris quad, Anem nemo...(""Aceri-Quercetum roboris""); Kirchbichl-Kastengstatt/Aichat: Fragmente von Stieleichen-Auwald","zu dunkel für Gräser, ""reich"" und frisch - Kräuter dom., viel Laubstreu, Cupulae, Dürräste","15 m über ""Badlsteig"" west. neben Förderband der stillgelegten Tongrube Ziegelwerk Hopfgarten",400,2,0,1,0,3,3
HO02,,EPSG:31258,361196,257892,50,2005-09-10,3,"Hopfgarten, unter alter Tongrube,über Badlsteig (westl. HO01)",Hopfgarten i.B.,625,240,60,,KiIn,,,,,,,mfr,,,,,wE1Qlu,GENIQUER,Überg. ZE2Qmi/dE1Qmy und wE1Qlu,,,,,,,,,
JEN01,JEN01,EPSG:31257,260587,252091,50,2003-07-25,119,Jenbach Tiergarten Süd,Wiesing,590,160,120,HVS,Ka+,200,30,20,60,25,1,mtr,,,6.47,7.26,wE6Ecw,CARIFAGE,ev. entmischt. Carici-Fagetum,,,200,10,0,13,0,0,0
JEN02,JEN02,EPSG:31257,260565,251977,50,2003-07-25,119,Jenbach Tiergarten Süd,Wiesing,585,150,140,MH,Ka+,200,15,12,20,65,0,mtr,,,5.16?,5.25?,wE6Ecw,CARITILI,"""Molinio-Quercetum""","Krautschicht stark deckend, Deckung wegen Felsen geringer",,200,0,0,0,0,0,0
KIR02,KIR02,EPSG:31258,355821,262547,50,2003-05-18,3,Naturdenkmal Grattenbergl Süd,Kirchbichl,530,210,90,MH,Ka,225,40,0,40,35,0,mfr,BrBr,tyMu,,,ZE2Qmi,MILIQUER,Variante von MILIQUER? Submontane Ausbildung der Randalpen??,"strauchreich, Mischung aus Frische- und Wärmezeigern",,225,0,0,0,0,0,0
