plot;plot.alternate;epsg;x;y;date;observer;location;Gemeinde;elevation;expo;slope;relief;bedrock;pls;t1cov;t2cov;scov;hcov;mcov;WHH;soiltype;humustype;pH A;pH B;type;comment1;comment2;comment3;pls;t1cov;t2cov;scov;hcov;mcov;cover.saplings;cover.dwarf shrubs;cover.grasses;Deckung Kräucover.herbster;cover.ferns;cover.tall.herbs
EBEN;;28;307285;257460;;;Eben, östlich Badhaussiedlung;Kitzbühel;;;;;;;;;;;;;;;;;GENIQUER;;;;;;;;;;;;;;;
GAS01;GAS01;28;240238;237590;2003-08-04;119;Kienberg-Zimmertal, unterer Waldrand entlang Straße;Ampass;735;130;65;UH;MoIn;300;7;35;50;25;15;mtr;.;.;4.20?;4.68?;GENIQUER;eher schon zu Genisto-Quercetum?;leichte etwas ausgedehnte Waldrandsituation;;300;7;35;50;25;15;3;0;12;0;0;0
HO02;;31;361196;257892;2005-09-10;3;Hopfgarten, unter alter Tongrube,über Badlsteig (westl. HO01);Hopfgarten i.B.;625;240;60;;KiIn;;;;;;;mfr;;;;;GENIQUER;Überg. ZE2Qmi/dE1Qmy und wE1Qlu;;;;;;;;;;;;;;
STU01;STU01;31;341439;239723;2003-09-22;119;Stummerberg, oberhalb Jugendherberge;Stummerberg;730;230;75;OH;SiIn;350;40;15;40;30;15;mfr;.;.;;3.22;GENIQUER;;;;350;40;15;40;30;15;2;5;10;0;0;0
UNT01;UNT01;28;219693;235683;2003-08-15;119;Unterperfuß, Schloß Ferklehen;Unterperfuß;640;100;70;UH;MoIn;300;70;10;25;60;25;mfr;.;tyMu;;4.36;GENIQUER;Tend. wE3Qbr;viele Wegelen, viel Wild, ruderalisiert;;300;70;10;25;60;25;0;0;25;0;0;2
EBENP01;EBENP01;28;191938;229910;2003-09-13;119;Ebenpuit/Ötztal;Oetz;810;170;70;MH;SiS-;350;65;10;10;80;8;mtr;.;tyMu;;;LATHQUER;;sehr wenig Strauchschicht;;350;65;10;10;80;8;5;0;35;0;1;0
EICHIG01;EICHIG01;28;163956;222190;2003-09-05;119;Eichig;Grins;990;170;45;HVS;SiB+;400;50;7;15;75;1;mtr;.;tyMu;5.41;5.01;LATHQUER;;;;400;50;7;15;75;1;15;0;55;0;0;0
EICHIG02;EICHIG02;28;163865;222119;2003-09-05;119;Eichig;Grins;970;170;90;MH;SiB+;350;65;0;20;65;2;mtr;.;.;6.93;5.88?;LATHQUER;;;;350;65;0;20;65;2;5;0;40;0;1;0
GWABL01;GWABL01;31;399509;193869;2003-09-18;119;Unterhalb Gwabl;Ainet;910;160;90;MH;SiIn;250;65;10;20;30;5;mtr;.;.;4.80;4.81;LATHQUER;;;;250;65;10;20;30;5;3;0;8;0;5;2
HABICH01;HABICH01;28;193799;228489;2003-09-13;119;Oberhalb Habichen;Oetz;920;240;120;HVS;SiS-;250;15;35;25;15;75;mtr;.;.;4.85;;LATHQUER;;Felsbestockung;;250;15;35;25;15;75;3;1;5;0;1;0
LAN01;LAN01;28;165564;222830;2003-08-16;119;Landeck, Eichenbühel, oberer westlicher Teil;Stanz;930;170;80;HVS;SiK+;300;50;15;25;55;10;mfr;PaRb;tyMu;7.85?;;LATHQUER;warum hier Stieleiche und bei 02 Traubeneiche? V.a. Q. x rosacea!!;kein Verbiß gesehen, aber sicher Wild vorhanden;;300;50;15;25;55;10;10;0;35;0;0;0
LAN02;LAN02;28;165541;222812;2003-08-16;119;Landeck, Eichenbühel;Stanz;940;190;100;HVE;SiK+;150;35;0;10;30;25;mtr;.;tyMu;7.42?;;LATHQUER;;Moose über Schutt, Felsen, aber auch über Blaiken;Seichtgründig!!!;150;35;0;10;30;25;1;0;22;0;2;0
NIKOLS01;NIKOLS01;31;417916;182896;2003-09-19;119;Oberhalb Nikolsdorf;Nikolsdorf;760;220;150;HVS;SiIn;175;20;0;25;25;60;tr;.;.;;4.48;LATHQUER;;;;175;20;0;25;25;60;0;0;0;0;0;0
NIKOLS02;NIKOLS02;31;418383;182614;2003-09-19;119;Nikolsdorf, unterm Dietl-Hof;Nikolsdorf;800;210;80;HVS;SiIn;400;65;10;25;50;5;mtr;.;.;5.95;4.82;LATHQUER;;;;400;65;10;25;50;5;5;5;25;0;0;5
UPEISCH01;UPEISCH01;31;393725;199100;2003-09-18;119;Unterpeischlach, SO;Kals am Großglockner;850;220;140;HVS;SiIn;150;15;0;30;50;65;tr;.;.;4.79;;LATHQUER;;;;150;15;0;30;50;65;0;1;20;0;3;0
ZAJACH01;ZAJACH01;31;398934;193647;2003-09-18;119;Zajach, am oberen Rand der Felswand zum Fluß hin;;810;50;140;HVS;SiIn;150;20;0;65;25;20;mfr;.;.;4.39;3.47;LATHQUER;;;;150;20;0;65;25;20;0;0;2;0;20;0
MANFR.04;84060604;28;343030;188500;1991-06-19;3;Eichhölzer;Dölsach;800;200;110;MH;SiIn;0;60;0;15;25;5;mtr;SePo;tyMo;;;LATHQUER;;Lathyro nigri-Quercetum;;0;60;0;15;25;5;0;0;0;0;0;0
MANFR.05;84060602;28;342850;188675;1991-06-19;3;Eichhölzer;Dölsach;780;250;90;MH;SiIn;0;75;0;10;95;3;mtr;BrBr;tyMu;;;LATHQUER;;Lathyro nigri-Quercetum;;0;75;0;10;95;3;0;0;0;0;0;0
MANFR.06;84100403;28;345965;187260;1992-07-30;3;Lengberg, Lindsberg;Nikolsdorf;800;200;110;HVS;SiIn;0;40;0;25;25;10;mtr;BrBr;tyMu;;;LATHQUER;;Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraeae Ellenberg et Klötzli 1972);;0;40;0;25;25;10;0;0;0;0;0;0
MANFR.07;84100402;28;345675;187350;1992-07-29;3;Lengberg, Lindsberg;Nikolsdorf;800;200;100;OH;.;0;80;0;20;50;1;mfr;BrBa;moMu;;;LATHQUER;;Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraeae Ellenberg et Klötzli 1972);;0;80;0;20;50;1;0;0;0;0;0;0
MANFR.08;84100401;28;344275;187450;1992-07-29;3;Lengberg, Lindsberg;Nikolsdorf;680;250;100;MH;.;0;85;0;35;60;5;mfr;BrBa;moMu;;;LATHQUER;;Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraeae Ellenberg et Klötzli 1972);;0;85;0;35;60;5;10;0;0;0;0;0
MANFR.09;84120101;28;333860;187450;1993-08-20;5;Kerschbaumer;Leisach;750;200;80;HVS;.;0;85;0;80;50;7;mtr;BrLp;muMo;;;LATHQUER;;Stiel-/Traubeneichenwald (Quercetum roboris s.l.), Lathyro- od. Milio-Querc.???;;0;85;0;80;50;7;10;0;0;0;0;0
MANFR.10;84120102;28;334690;189335;1993-08-18;5;Kerschbaumer;Leisach;710;200;60;UH;.;0;90;0;70;40;2;mtr;BrLl;muMo;;;LATHQUER;;Stiel-/Traubeneichenwald (Quercetum roboris s.l.), Lathyro- od. Milio-Querc.bzw. neue Ass.;;0;90;0;70;40;2;0;0;0;0;0;0
MANFR.11;154130101;28;190755;230800;1994-05-30;26;Ebene;Ötz;810;250;80;MH;SiIn;0;70;0;10;50;20;mfr;BrBa;tyMu;;;LATHQUER;;Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraea Ellenberg et Klötzli 1972);;0;70;0;10;50;20;5;0;0;0;0;0
MANFR.12;154130102;28;191910;229950;1994-06-01;26;Ebene;Ötz;810;250;85;MH;SiIn;0;85;0;50;50;2;mfr;BrBr;tyMu;;;LATHQUER;;Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraea Ellenberg et Klötzli 1972);;0;85;0;50;50;2;0;0;0;0;0;0
MANFR.13;154130103;28;191410;230035;1994-06-17;26;Ebene;Ötz;830;200;75;MH;SiIn;0;65;0;35;85;5;mfr;BrBr;tyMu;;;LATHQUER;;Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraea Ellenberg et Klötzli 1972);;0;65;0;35;85;5;0;0;0;0;0;0
AMP01;AMP01;28;234820;236241;2003-08-03;119;Ampaß Pfarrkirche, Hügel an der Straße Aldrans-Ampaß;Ampass;735;120;65;OH;MoK-;200;40;0;40;40;10;mfr;BrLl;tyMu;6.50?;7.24?;CARITILI;Carici albae-Tilietum??;angrenzend Wiesen bzw Halbtrockenrasen, Einfluß von dort, zT ev. Teil der Fläche eine zugewachsene Wiese??;;200;40;0;40;40;10;5;0;15;0;0;0
AMP03;AMP03;28;234937;236065;2003-08-25;119;Naturwaldzelle Ampaß;Ampass;720;120;75;MH;MoK-;350;70;20;10;65;7;mtr;KaBL;tyMu;6.56;7.84;CARITILI;steht zw. Lathyr.=Luzulo niv.-Q. und Carici-Tilietum;mäßig Verbiß;;350;70;20;10;65;7;5;0;30;0;0;0
BRI01;BRI01;31;340523;255666;2003-09-04;119;Mariahilfbergerl;Brixlegg;610;140;100;OH;Ka-;250;25;35;45;20;3;mtr;.;.;7.23;_;CARITILI;;;;250;25;35;45;20;3;5;0;8;0;0;0
JEN01;JEN01;28;260587;252091;2003-07-25;119;Jenbach Tiergarten Süd;Wiesing;590;160;120;HVS;Ka+;200;30;20;60;25;1;mtr;.;.;6.47;7.26;CARIFAGE?;ev. entmischt. Carici-Fagetum;;;200;30;20;60;25;1;10;0;13;0;0;0
