taxon;matched.taxon;abbr
Festuca norica;Festuca norica;fest nori
Achillea clavenae;Achillea clavennae;achi clav
Acinos alpinus;Clinopodium alpinum ssp. alpinum;clin alpi alpi
Alchemilla anisiaca;Alchemilla anisiaca;alch anis
Anemone narcissiflora;Anemonastrum narcissiflorum;anem narc
Aster bellidiastrum;Bellidiastrum michelii;bell mich
Betonica alectorolophus;Betonica alopecuros;beto alop
Campanula scheuchzeri;Campanula scheuchzeri;camp sche
Carduus defloratus;Carduus defloratus ssp. viridis;card defl viri
Carlina acaulis;Carlina acaulis ssp. acaulis;carl acau acau
Crepis alpestris;Crepis alpestris;crep alpe
Dianthus alpinus;Dianthus alpinus;dian alpi
Erica carnea;Erica carnea;eric carn
Erigeron polymorphus;Erigeron glabratus ssp. glabratus;erig glab glab
Euphrasia picta;Euphrasia officinalis ssp. picta;euph offi pict
Galium anisophyllum;Galium anisophyllon;gali anis
Helianthemum grandiflora;Helianthemum nummularium ssp. grandiflorum;heli numm gran
Heracleum austriacum;Heracleum austriacum ssp. austriacum;hera aust aust
Hieracium villosum;Hieracium villosum;hier vill
Hippocrepis comosa;Hippocrepis comosa;hipp como
Leucanthemum atratum;Leucanthemum atratum s.str.;leuc atra
Linum perenne ssp. alpinum;Linum alpinum;linu alpi
Lotus corniculatus agg;Lotus corniculatus s.lat.;lotu corn slat
Myosotis alpestris;Myosotis alpestris;myos alpe
Nigritella miniata;Nigritella miniata s.str.;nigr mini
Nigritella nigra;Nigritella nigra ssp. austriaca;nigr nigr aust
Pedicularis verticilata;Pedicularis verticillata;pedi vert
Phleum hirsutum;Phleum hirsutum;phle hirs
Phyteuma orbiculare;Phyteuma orbiculare s.str.;phyt orbi
Polygata amara brachyptera;Polygala amara ssp. brachyptera;poly amar brac
Ranunculus hybridus;Ranunculus hybridus;ranu hybr
Ranunculus montanus;Ranunculus montanus s.str.;ranu mont
Ranunculus nemorosus;Ranunculus nemorosus;ranu nemo
Scabiosa lucida;Scabiosa lucida ssp. lucida;scab luci luci
Tephroseris longifolia;Tephroseris longifolia s.str.;teph long
Silene vulgaris;Silene vulgaris ssp. vulgaris;sile vulg vulg
Thesium alpinum;Thesium alpinum;thes alpi
Thlaspi alpestre;Noccaea crantzii;nocc cran
Thymus praecox potytrichus;Thymus praecox ssp. polytrichus;thym prae poly
BLANK;NA;NA
Carex ferruginea;Carex ferruginea s.str.;care ferr
Buphthalmum salicifolium;Buphthalmum salicifolium;buph sali
Crepis blattarioides;Crepis pyrenaica;crep pyre
Daphne mezereum;Daphne mezereum;daph meze
Geranium sylvaticum;Geranium sylvaticum;gera sylv
Globularia nudicaulis;Globularia nudicaulis;glob nudi
Gymnadenia conopsea;Gymnadenia conopsea ssp. conopsea;gymn cono cono
