taxon;matched.taxon;abbr
Asplenium cuneifolium;Asplenium cuneifolium;aspl cune
Betula pendula;Betula pendula;betu pend
Betula pendula;Betula pendula;betu pend
Biscutella laevigata;Biscutella laevigata s.lat.;bisc laev slat
Bryum capillare;Bryum capillare;bryu capi
Bupleurum falcatum;Bupleurum falcatum;bupl falc falc
Carex humilis;Carex humilis;care humi
Carpinus betulus;Carpinus betulus;carp betu
Corylus avellana;Corylus avellana;cory avel
Dianthus carthusianorum agg.;Dianthus carthusianorum s.lat.;dian cart slat
Dorycnium germanicum;Dorycnium germanicum;dory germ
Festuca ovina;Festuca ovina s.str.;fest ovin
Frangula alnus;Frangula alnus;fran alnu
Frangula alnus;Frangula alnus;fran alnu
Frullania tamarisci;Frullania tamarisci;frul tama
Galium valdepilosum;Galium valdepilosum;gali vald
Galium verum;Galium verum s.str.;gali veru
Genista pilosa;Genista pilosa;geni pilo
Hieracium murorum;Hieracium murorum;hier muro
Hieracium sabaudum;Hieracium sabaudum;hier saba
Hieracium species;Hieracium sp.;hier spec ies
Pimpinella saxifraga agg.;Pimpinella saxifraga s.lat.;pimp saxi slat
Pinus nigra;Pinus nigra ssp. nigra;pinu nigr nigr
Pinus sylvestris;Pinus sylvestris;pinu sylv
Pinus sylvestris;Pinus sylvestris;pinu sylv
Quercus petraea agg.;Quercus petraea s.lat.;quer petr
Quercus petraea agg.;Quercus petraea s.lat.;quer petr
Rosa species;Rosa sp.;rosa spec ies
Rubus idaeus;Rubus idaeus;rubu idae
Rumex acetosa;Rumex acetosa;rume acet osa
Scleropodium purum;Scleropodium purum;scle puru
Sesleria albicans;Sesleria caerulea s.str.;sesl caer
Sorbus aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Stellaria holostea;Stellaria holostea;stel holo
Thlaspi montanum;Noccaea montana;nocc mont
Thymus praecox;Thymus praecox s.lat.;thym prae slat
Tilia cordata;Tilia cordata;tili cord
Vincetoxicum hirundinaria;Vincetoxicum hirundinaria;vinc hiru
Viola collina;Viola collina;viol coll
Berberis vulgaris;Berberis vulgaris;berb vulg
Campanula persicifolia;Campanula persicifolia;camp pers
Corylus avellana;Corylus avellana;cory avel
Dicranum polysetum;Dicranum polysetum;dicr poly
Euphorbia cyparissias;Euphorbia cyparissias;euph cypa
Fragaria vesca;Fragaria vesca;frag vesc
Hylocomium splendens;Hylocomium splendens;hylo sple
Hypericum montanum;Hypericum montanum;hype mont
Mycelis muralis;Lactuca muralis;lact mura
Plagiomnium affine;Plagiomnium affine;plag affi
Pleurozium schreberi;Pleurozium schreberi;pleu schr
Polypodium vulgare;Polypodium vulgare;poly vule
Rubus idaeus;Rubus idaeus;rubu idae
Hylotelephium maximum;Hylotelephium maximum;hylo maxi
Senecio viscosus;Senecio viscosus;sene visc
Silene vulgaris;Silene vulgaris s.lat.;sile vulg slat
Valeriana wallrothii;Valeriana officinalis ssp. tenuifolia;vale offi tenu
Viscum album ssp. laxum;Viscum album s.str.;visc albu
Allium flavum;Allium flavum;alli flav
Avenula pratensis;Avenula pratensis;aven prat
Hypnum cupressiforme;Hypnum cupressiforme;hypn cupr
Inula conyza;Inula conyzae;inul cony
Potentilla incana;Potentilla incana;pote inca
Prunus mahaleb;Prunus mahaleb;prun maha
Rhytidiadelphus triquetrus;Rhytidiadelphus triquetrus;rhyt triq
Tephroseris integrifolia;Tephroseris integrifolia s.lat.;teph inte slat
Thesium alpinum;Thesium alpinum;thes alpi
Viola tricolor ssp. saxatilis;Viola tricolor ssp. saxatilis;viol tric saxa
Achillea millefolium agg.;Achillea millefolium agg.;achi mill aggr
Astragalus glycyphyllos;Astragalus glycyphyllos;astr glyc
Chamaecytisus ratisbonensis;Chamaecytisus ratisbonensis;cham rati
Epilobium montanum;Epilobium montanum;epil mont
Impatiens parviflora;Impatiens parviflora;impa parv
Luzula luzuloides;Luzula luzuloides;luzu luzu ides
Melica nutans;Melica nutans s.str.;meli nuta
Polytrichum juniperinum;Polytrichum juniperinum;poly juni
Prunus mahaleb;Prunus mahaleb;prun maha
Quercus petraea agg.;Quercus petraea s.lat.;quer petr
Senecio erucifolius;Senecio erucifolius;sene eruc
Allium senescens ssp. montanum;Allium lusitanicum;alli lusi
Anthericum ramosum;Anthericum ramosum;anth ramo
Armeria elongata ssp. serpentini;Armeria elongata;arme elon
Asperula cynanchica;Asperula cynanchica;aspe cyna
Carduus nutans;Carduus nutans s.lat.;card nuta slat
Dicranum scoparium;Dicranum scoparium;dicr scop
Larix decidua;Larix decidua;lari deci deci
Polygonatum odoratum;Polygonatum odoratum;poly odor
Teucrium chamaedrys;Teucrium chamaedrys ssp. chamaedrys;teuc cham
Viola hirta;Viola hirta;viol hirt
Berberis vulgaris;Berberis vulgaris;berb vulg
Carlina vulgaris agg.;Carlina vulgaris s.lat.;carl vulg slat
Hypericum perforatum;Hypericum perforatum;hype perf
Pinus sylvestris;Pinus sylvestris;pinu sylv
Sorbus aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Thymus pulegioides;Thymus pulegioides s.lat.;thym pule slat
Arrhenatherum elatius;Arrhenatherum elatius;arrh elat
Asplenium septentrionale;Asplenium septentrionale ssp. septentrionale;aspl sept sept
Campanula moravica;Campanula moravica;camp mora
Cardaminopsis arenosa;Arabidopsis arenosa;arab aren
Festuca pallens s.lat.;Festuca pallens;fest pall
Grimmia species;Grimmia sp.;grim spec ies
Lychnis viscaria;Viscaria vulgaris;visc vulg
Parmelia pulla;Xanthoparmelia delisei;xant deli
Poa nemoralis;Poa nemoralis;poa nemo
Potentilla argentea;Potentilla argentea s.lat.;pote arge slat
Saxifraga sponhemica;Saxifraga rosacea ssp. sponhemica;saxi rosa spon
Sedum rupestre;Sedum rupestre;sedu rupe
Silene otites;Silene otites s.lat.;sile otit slat
Stachys recta;Stachys recta s.lat.;stac rect slat
Taraxacum sect. Ruderalia;Taraxacum sect. Ruderalia;tara sect rude
Calamagrostis arundinacea;Calamagrostis arundinacea;cala arun
Cynodontium polycarpon;Cynodontium polycarpon;cyno poly
Plagiothecium denticulatum;Plagiothecium denticulatum;plag dent
Vaccinium myrtillus;Vaccinium myrtillus;vacc myrt
Galium mollugo agg.;Galium mollugo agg.;gali moll aggr
Hieracium lachenalii;Hieracium lachenalii;hier lach
Myosotis sylvatica;Myosotis sylvatica s.str.;myos sylv
Rubus caesius;Rubus caesius;rubu caes
Parmelia caperata;Flavoparmelia caperata;flav cape
Rumex acetosella s.lat.;Rumex acetosella s.lat.;rume acet slat
Cladonia species;Cladonia sp.;clad spec ies
