Aufnahmenummer;017;018;057;011;046;002;010;036;09;059;029;031;026;012;023;024;035;049;046;025;039
Bryum pallens agg.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.
Campylium stellatum;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+
Marchantia polymorpha;.;.;.;.;.;R;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.
Jungermannia sp.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;+;.;+;.
Bryum sp.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;”;.;.;+;.;.;.
;;;;;;;;;;;;;;;;;;;;;
Deschampsia cespitosa;.;.;.;1;1;.;.;1;1;1;1;1;.;.;.;R;1;.;+;.;.
Epilobium anagallidifolium;.;.;.;1;.;.;1;.;.;.;.;.;.;.;.;1;.;.;.;3;.
Caltha palustris;.;.;.;.;R;.;.;3;2;1;.;.;.;.;.;+;+;.;+;.;.
Tussilago farfara;.;.;.;.;.;.;.;.;.;.;1;.;1;.;.;.;.;+;+;.;.
Cardamine rivularis;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;+;7;+;.;.
Veronica beccabunga;.;.;.;.;.;.;+;.;+;1;.;.;.;.;.;.;.;.;.;.;.
Chaerophyllum hirsutum ssp. villarsii;.;.;.;.;.;.;.;2;+;.;2;.;R;.;.;+;.;.;.;.;.
Aster bellidiastrum;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;R;.
Stellaria allsine;.;.;.;1;.;.;.;.;.;+;.;.;1;.;.;.;.;.;.;.;.
Dicranoweisia crispula;.;.;.;+;+;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.
Gentiana bavarica;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;R;.;.;.;.
Tofieldia calyculata;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.
Festuca pulchella;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;+;.;.
Cystopteris fragilis;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.
Achillea atrata;.;.;.;.;.;1;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.
Viola biflora;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.
Pinguicula alpina;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.
