plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,comment,soil,location,latitude,longitude,accuracy,elevation,alliance,observer,rope
ws01,80,0,0,0,80,5,0,0,0,0.5,0.15,2,2,SW,40,20,5,0,2009-04-29,,Rendzina,Falkensteinwand,47.758507N,13.395419E,20,540,Berberidion,R. Kaiser & T. Eberl,
ws02,90,0,0,0,90,25,0,0,0,0.6,0.15,2,4,SW,40,10,1,0,2009-04-29,,Rendzina,Falkensteinwand,47.758556N,13.395987E,20,550,Berberidion,R. Kaiser & T. Eberl,
ws03,80,0,0,0,80,20,0,0,0,0.6,0.15,1,2,SW,35,20,1,0,2009-04-29,,Rendzina,Falkensteinwand,47.758574N,13.396223E,20,560,Berberidion,R. Kaiser & T. Eberl,
ws04,75,0,0,0,75,3,0,0,2.5,0.7,0.3,4,5,S,85,35,0,0,2009-04-29,,Rendzina,Hochwänd,47.757401N,13.417807E,20,880,Berberidion,R. Kaiser & T. Eberl,
ws05,90,0,0,0,90,1,0,0,2.5,0.7,0.2,2,5,SW,85,10,0,0,2009-04-29,,Rendzina,Falkensteinwand,47.758408N,13.395330E,20,540,Berberidion,R. Kaiser & T. Eberl,
ws06,90,0,0,3,90,2,0,0,0,0.6,0.25,4,5,SE,75,10,0,0,2009-05-03,,Rendzina,Plombergstein,47.777211N,13.360779E,20,720,Berberidion,T. Eberl,bei Standplatz 2. Seillänge der Tour Juniperus
ws07,90,45,60,60,70,20,20,10,10,0.5,0.3,16,16,W,55,30,0,0,2014-06-22,am oberen NE Eck 1 mehrstämmige S. aria ,Rendzina,Falkensteinwand,47.758635N,13.395110E,20,,Tilenion platyphylli,R. Kaiser,
ws08,95,30,40,30,85,10,12,6,3,0.7,0.3,16,16,SW,50,1,0,0,2014-06-22,unterhalb des Pfades,Rohumus-Rendzina,Falkensteinwand,47.758602N,13.395365E,10,,Cephalanthero-Fagenion,R. Kaiser,
ws09,95,55,40,40,90,2,12,8,4,0.9,0.3,16,16,S,30,5,0,0,2014-06-22,in der Mitte ein großer Freibereich,Rendzina,Fürberg,47.759643N,13.391328E,20,,Cephalanthero-Fagenion,R. Kaiser,
ws10,97,35,40,25,85,7,14,10,4.5,0.8,0.2,16,16,SE,50,2,0,0,2014-08-10,,Rohumus-Rendzina,Fürberg,47.758834N,13.392712E,10,,Cephalanthero-Fagenion,R. Kaiser,
ws11,95,35,40,80,45,5,13,9,6,0.7,0.2,10,25,S,65,50,0,0,2014-08-10,,Mull-Rendzina,Bucht W Falkensteinwand,47.758130N,13.398586E,10,,Tilenion platyphylli,R. Kaiser,"rope betray (wsx2-3'): 47.758251N,13.398779E, rope range (wsx2-3'' ±100m): 47.757841N,13.398364E"
