taxon;matched.taxon;abbr
Allium flavum;Allium flavum;alli flav
Anthericum ramosum;Anthericum ramosum;anth ramo
Asperula cynanchica;Asperula cynanchica;aspe cyna
Aster amellus;Aster amellus;aste amel
Berberis vulgaris;Berberis vulgaris;berb vulg
Brachypodium pinnatum;Brachypodium pinnatum s.str.;brac pinn
Buphthalmum salicifolium;Buphthalmum salicifolium;buph sali
Carex pediformis;Carex pediformis;care pedi
Carpinus betulus;Carpinus betulus;carp betu
Centaurea stoebe s.lat.;Centaurea stoebe s.lat.;cent stoe slat
Chamaecytisus ratisbonensis;Chamaecytisus ratisbonensis;cham rati
Cladonia rangiformis;Cladonia rangiformis;clad rang rmis
Clinopodium vulgare;Clinopodium vulgare ssp. vulgare;clin vulg vulg
Cornus mas;Cornus mas;corn mas
Crataegus monogyna;Crataegus monogyna;crat mono
Dianthus carthusianorum agg.;Dianthus carthusianorum s.lat.;dian cart slat
Digitalis grandiflora;Digitalis grandiflora;digi gran
Euphorbia cyparissias;Euphorbia cyparissias;euph cypa
Festuca ovina;Festuca ovina s.str.;fest ovin
Galium glaucum;Galium glaucum s.str.;gali glau
Genista pilosa;Genista pilosa;geni pilo
Genista tinctoria;Genista tinctoria;geni tinc
Homalothecium lutescens;Homalothecium lutescens;homa lute
Hypnum cupressiforme;Hypnum cupressiforme;hypn cupr
Inula ensifolia;Inula ensifolia;inul ensi
Inula hirta;Inula hirta;inul hirt
Melica ciliata;Melica ciliata s.str.;meli cili
Phleum phleoides;Phleum phleoides;phle phle
Polygonatum odoratum;Polygonatum odoratum;poly odor
Pulsatilla grandis;Pulsatilla grandis;puls gran
Quercus robur;Quercus robur;quer robu
Rosa canina agg.;Rosa canina s.lat.;rosa cani slat
Scabiosa ochroleuca;Scabiosa ochroleuca;scab ochr
Securigera varia;Securigera varia;secu vari
Sedum album;Sedum album;sedu albu
Sorbus aria agg.;Sorbus aria agg.;sorb aria
Tanacetum corymbosum;Tanacetum corymbosum s.lat.;tana cory slat
Teucrium chamaedrys;Teucrium chamaedrys ssp. chamaedrys;teuc cham
Thymus praecox;Thymus praecox s.lat.;thym prae slat
Verbascum chaixii ssp. austriacum;Verbascum chaixii ssp. austriacum;verb chai aust
Potentilla incana;Potentilla incana;pote inca
Acer campestre;Acer campestre;acer camp
Acer platanoides;Acer platanoides;acer plat
Achillea millefolium agg.;Achillea millefolium agg.;achi mill aggr
Agrostis capillaris;Agrostis capillaris;agro capi
Allium senescens ssp. montanum;Allium lusitanicum;alli lusi
Anthoxanthum odoratum;Anthoxanthum odoratum s.str.;anth odor
Asplenium septentrionale;Asplenium septentrionale ssp. septentrionale;aspl sept sept
Aurinia saxatilis;Aurinia saxatilis;auri saxa
Bupleurum falcatum;Bupleurum falcatum;bupl falc falc
Campanula moravica;Campanula moravica;camp mora
Campanula persicifolia;Campanula persicifolia;camp pers
Campanula rapunculoides;Campanula rapunculoides ssp. rapunculoides;camp rapu rapu
Corylus avellana;Corylus avellana;cory avel
Dicranum scoparium;Dicranum scoparium;dicr scop
Euonymus verrucosus;Euonymus verrucosus;euon verr
Fallopia convolvulus;Fallopia convolvulus;fall conv
Genista germanica;Genista germanica;geni germ
Hieracium maculatum;Hieracium maculatum;hier macu
Hieracium murorum;Hieracium murorum;hier muro
Hieracium sabaudum;Hieracium sabaudum;hier saba
Hypericum perforatum;Hypericum perforatum;hype perf
Hypogymnia physodes;Hypogymnia physodes;hypo phys
Jasione montana;Jasione montana ssp. montana;jasi mont mont
Koeleria macrantha;Koeleria macrantha;koel macr
Linaria genistifolia;Linaria genistifolia;lina geni
Luzula campestris;Luzula campestris s.str.;luzu camp
Lychnis viscaria;Viscaria vulgaris;visc vulg
Medicago falcata;Medicago falcata;medi falc
Melica uniflora;Melica uniflora;meli unif
Origanum vulgare;Origanum vulgare ssp. vulgare;orig vulg
Parmelia conspersa;Xanthoparmelia conspersa;xant cons
Parmelia pulla;Xanthoparmelia delisei;xant deli
Poa angustifolia;Poa angustifolia;poa angu
Poa bulbosa;Poa bulbosa s.str.;poa bulb
Poa nemoralis;Poa nemoralis;poa nemo
Polypodium vulgare;Polypodium vulgare;poly vule
Quercus petraea agg.;Quercus petraea s.lat.;quer petr
Quercus petraea agg.;Quercus petraea s.lat.;quer petr
Rhytidium rugosum;Rhytidium rugosum;rhyt rugo
Rumex acetosella s.lat.;Rumex acetosella s.lat.;rume acet slat
Hylotelephium maximum;Hylotelephium maximum;hylo maxi
Seseli libanotis;Seseli libanotis ssp. libanotis;sese liba liba
Silene nutans s.lat.;Silene nutans s.lat.;sile nuta slat
Sorbus torminalis;Sorbus torminalis;sorb torm
Thesium linophyllon;Thesium linophyllon;thes lino
Tilia cordata;Tilia cordata;tili cord
Tilia cordata;Tilia cordata;tili cord
Trifolium alpestre;Trifolium alpestre;trif alpe
Vincetoxicum hirundinaria;Vincetoxicum hirundinaria;vinc hiru
Avenella flexuosa;Avenella flexuosa;aven flex flex
Calluna vulgaris;Calluna vulgaris;call vulg
Cardaminopsis arenosa;Arabidopsis arenosa;arab aren
Carpinus betulus;Carpinus betulus;carp betu
Carpinus betulus;Carpinus betulus;carp betu
Cladonia coniocraea;Cladonia coniocraea;clad coni
Hieracium laevigatum;Hieracium laevigatum;hier laev
Hieracium pilosella;Hieracium pilosella;hier pilo ella
Hieracium umbellatum;Hieracium umbellatum;hier umbe
Luzula divulgata;Luzula divulgata;luzu divu
Parmelia saxatilis;Parmelia saxatilis;parm saxa
Polytrichum juniperinum;Polytrichum juniperinum;poly juni
Quercus petraea agg.;Quercus petraea s.lat.;quer petr
Sedum rupestre;Sedum rupestre;sedu rupe
Vicia hirsuta;Vicia hirsuta;vici hirs
Arrhenatherum elatius;Arrhenatherum elatius;arrh elat
Atrichum undulatum;Atrichum undulatum;atri undu
Carex humilis;Carex humilis;care humi
Cladonia fimbriata;Cladonia fimbriata;clad fimb
Dicranella heteromalla;Dicranella heteromalla;dicr hete
Galium aparine;Galium aparine s.str.;gali apar
Hieracium lachenalii;Hieracium lachenalii;hier lach
Pinus sylvestris;Pinus sylvestris;pinu sylv
Polytrichum piliferum;Polytrichum piliferum;poly pili
Prunus avium;Prunus avium s.lat.;prun aviu slat
Veronica officinalis;Veronica officinalis;vero offi
Festuca pallens s.lat.;Festuca pallens;fest pall
Ligustrum vulgare;Ligustrum vulgare;ligu vulg
Rosa canina agg.;Rosa canina s.lat.;rosa cani slat
Rubus fruticosus agg.;Rubus fruticosus agg.;rubu frut aggr
Sorbus aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Aconitum anthora;Aconitum anthora;acon anth
Alliaria petiolata;Alliaria petiolata;alli peti
Arabis pauciflora;Fourraea alpina;four alpi
Betonica officinalis;Betonica officinalis;beto offi offi
Buglossoides purpurocaerulea;Buglossoides purpurocaerulea;bugl purp
Dactylis polygama;Dactylis polygama;dact poly
Euphorbia polychroma;Euphorbia polychroma;euph poly
Fragaria moschata;Fragaria moschata;frag mosc
Fragaria viridis;Fragaria viridis ssp. viridis;frag viri viri
Fumaria vaillantii;Fumaria vaillantii;fuma vail
Geranium sanguineum;Geranium sanguineum;gera sang
Geum urbanum;Geum urbanum;geum urba
Glechoma hederacea agg.;Glechoma hederacea agg.;glec hede aggr
Hedwigia ciliata;Hedwigia ciliata;hedw cili
Inula oculus-christi;Inula oculus-christi;inul ocul chri
Ligustrum vulgare;Ligustrum vulgare;ligu vulg
Peucedanum cervaria;Cervaria rivini;cerv rivi
Potentilla heptaphylla;Potentilla heptaphylla;pote hept
Primula veris;Primula veris s.lat.;prim veri slat
Pyrus communis agg.;Pyrus communis agg.;pyru comm aggr
Ranunculus bulbosus;Ranunculus bulbosus s.str.;ranu bulb
Rosa gallica;Rosa gallica;rosa gall
Tortula ruralis;Syntrichia calcicola;synt calc
Veronica vindobonensis;Veronica vindobonensis;vero vind
Viola arvensis;Viola arvensis s.lat.;viol arve slat
Biscutella laevigata;Biscutella laevigata s.lat.;bisc laev slat
Carlina vulgaris agg.;Carlina vulgaris s.lat.;carl vulg slat
Ceratodon purpureus;Ceratodon purpureus;cera purp
Cladonia foliacea;Cladonia convoluta;clad conv
Cladonia pyxidata;Cladonia pyxidata;clad pyxi
Dicranum polysetum;Dicranum polysetum;dicr poly
Juniperus communis;Juniperus communis s.lat.;juni comm slat
Parmelia caperata;Flavoparmelia caperata;flav cape
Racomitrium canescens;Racomitrium canescens s.lat.;raco cane slat
Stellaria holostea;Stellaria holostea;stel holo
Brachythecium velutinum;Brachytheciastrum velutinum;brac velu
Carex montana;Carex montana;care mont
Convallaria majalis;Convallaria majalis ssp. majalis;conv maja maja
Fragaria vesca;Fragaria vesca;frag vesc
Galium album s.lat.;Galium album s.lat.;gali albu slat
Galium verum;Galium verum s.str.;gali veru
Larix decidua;Larix decidua;lari deci deci
Lathyrus niger;Lathyrus niger;lath nige
Luzula luzuloides;Luzula luzuloides;luzu luzu ides
Plagiomnium affine;Plagiomnium affine;plag affi
Polytrichum formosum;Polytrichum formosum;poly form
Solidago virgaurea;Solidago virgaurea ssp. virgaurea;soli virg virg
Alyssum alyssoides;Alyssum alyssoides;alys alys
Asplenium ruta-muraria;Asplenium ruta-muraria;aspl ruta
Betula pendula;Betula pendula;betu pend
Centaurea stoebe ssp. stoebe;Centaurea stoebe ssp. stoebe;cent stoe stoe
Cotoneaster integerrimus;Cotoneaster integerrimus;coto inte
Echium vulgare;Echium vulgare ssp. vulgare;echi vulg
Grimmia pulvinata;Grimmia pulvinata;grim pulv
Minuartia rubra;Minuartia rubra;minu rubr
Pimpinella saxifraga agg.;Pimpinella saxifraga s.lat.;pimp saxi slat
Potentilla incana;Potentilla incana;pote inca
Rosa canina s.lat.;Rosa canina s.lat.;rosa cani slat
Schistidium apocarpum;Schistidium apocarpum;schi apoc
Senecio jacobaea;Senecio jacobaea;sene jaco
Seseli osseum;Seseli osseum;sese osse
Tortella tortuosa;Tortella tortuosa;tort tort
Acinos arvensis;Clinopodium acinos;clin acin
Arabis glabra;Turritis glabra;turr glab
Arabis hirsuta;Arabis hirsuta s.str.;arab hirs
Arabis turrita;Pseudoturritis turrita;pseu turr
Carex digitata;Carex digitata;care digi
Cladonia symphycarpa;Cladonia symphycarpa;clad symp
Corylus avellana;Corylus avellana;cory avel
Cytisus nigricans;Cytisus nigricans ssp. nigricans;cyti nigr nigr
Helianthemum ovatum;Helianthemum nummularium ssp. obscurum;heli numm obsc
Quercus robur;Quercus robur;quer robu
Sesleria albicans;Sesleria caerulea s.str.;sesl caer
Tilia cordata;Tilia cordata;tili cord
Tortella inclinata;Tortella inclinata;tort incl
Viburnum lantana;Viburnum lantana;vibu lant
Cladonia rangiferina;Cladonia rangiferina;clad rang
Cornus mas;Cornus mas;corn mas
Encalypta streptocarpa;Encalypta streptocarpa;enca stre
Fissidens species;Fissidens sp.;fiss spec ies
Inula conyza;Inula conyzae;inul cony
Juniperus communis ssp. communis;Juniperus communis ssp. communis;juni comm comm
