Aufnahme;Aufnahmedatum;Seehöhe;Exposition;Neigung;Lokalität
4001;1996-07-21;1105;NE;10;Seetal, Lettanger
4002;1996-07-21;1375;N;5;Scetal, Lettanger kurz nach Florl-Htt.
4003;1996-07-21;1460;SE;30;Hollkampl, orogr. li. Schutthalde
4004;1996-07-21;1435;SE;30;Höllkampl
4005;1996-07-21;1425;S;90;200m sw Hackbichl
4006;1996-07-21;1435;SE;50;200m sw Hackbichl, orogr. li. Felshänge
4007;1996-07-21;1440;SE;35;250m sw Hackbichl, Rasenstrciien am orogr. li. Hang
4008;1996-07-21;1520;W;30;Am Steig kurz unter Voisthalerhtt.
4009;1996-07-21;1685;KF.X;0;Obere Dullvvitz
4010;1996-07-15;1760;NW;15;Obere Dullwitz, kurz vor der Abzweigung Trawiessartel
4011;1996-07-15;1760;KEX;0;Obere Dullwitz, 20m unter Aufn. 4010 in Mulde
4012;1996-07-15;1800;W;25;West-Hang des Rotkarkogel
4013;1996-07-15;1815;W;30;West-Hang des Rotgangkogel
4014;1996-07-15;1815;W;30;West-Hang des Rotgangkogel
4015;1996-07-16;1805;KEX;0;West-Hang Rotgangkogel
4016;1996-07-22;2130;N;25;Schiestelhaus, Doline östlich 500m
4017;1996-07-22;2085;KEX;0;Westlich Ochsenreichkar, orogr. li. vom Weg vor Quote 1994
4018;1996-07-22;2085;KEX;0;Westlich Ochsenreichkar, orogr. li. vom Weg vor Quote 1994
4019;1996-07-21;2080;E;30;Westlich Ochsenreichkar, 100m nnw der Abzweigung
4020;1996-07-21;2045;E;25;Westlich Ochsenreichkar in Mulde beim Weg
4021;1996-07-23;1835;KEX;0;Ochsenreichkar, Buckel bei Quelle
4022;1996-07-23;1980;SE;15;Nördlich Hutkogel (Sattel zum Ochsenreichkar)
4023;1996-07-23;1975;N;25;Ringkarwand ander Kante
4024;1996-07-23;1405;S;35;Gamssteig unter Quelle, östliche Staritzen
4025;1996-08-01;1625;SW;20;Oberer Ring, Dolinengrund
4026;1996-08-01;1625;SW;10;Oberer Ring, Doline
4027;1996-08-01;1635;NE;20;Oberer Ring, Kuppe im Zentrum
4028;1996-08-01;1535;KEX;0;Oberer Ring
4029;1996-08-01;1580;NE;35;Oberer Ring
4030;1996-08-01;1605;N;75;Oberer Ring
4031;1996-08-01;1595;E;30;Oberer Ring
4032;1996-08-01;1605;NE;30;Oberer Ring
4033;1996-08-01;1615;SE;30;Oberer Ring
4034;1996-08-01;1620;SE;30;Oberer Ring
4035;1996-08-02;1565;NW;30;Oberer Ring
4036;1996-08-02;1510;N;35;Oberer Ring
4038;1996-08-09;1550;S;35;Siidhang der Seeleiten (etwas westlich des Steiges), Aflenzer Staritzen
4039;1996-08-09;1660;SW;75;Aflenzer Staritzen, Südhang der Seeleiten wo Fels, Latschen und Schutt beginnen
4040;1996-08-09;1660;S;40;Aflenzer Staritzen, Südhang der Seeleiten wo Fels, Latschen und Schutt beginnen
4041;1996-08-09;1650;SW;30;Aflenzer Staritzen, Südhang Seeleiten neben Aufn 4039 u. 4040
4042;1996-08-09;1720;NE;10;Aflenzer Staritzen, Seeleiten gegen die Mulde des „Karls“
4043;1996-08-09;1710;NE;0;Aflenzer Staritzen, Seeleiten gegen Mulde des „Karls“
4044;1996-08-09;1690;S;15;Aflenzer Staritzen, Seeleiten gegen Mulde des „Karls“
4045;1996-08-09;1680;KEX;0;Aflenzer Staritzen, „Karl“ nördlich Seeleiten, große Mulde
4046;1996-08-09;1720;SE;30;Aflenzer Staritzen, „Karl“ gegen Kamm zum Hinteren Starirzengipfel
4047;1996-08-16;1575;NE;30;Aflenzer Staritzen, Gamssteig
4048;1996-08-16;1600;N;10;Aflenzer Staritzen, Gamssteig
4049;1996-08-16;1690;SE;30;Aflenzer Staritzen, Hang zum Parkplatz Scetal
4050;1996-08-16;1685;SE;30;Aflenzer Staritzen, Rasenhänge über Seewiesen
4051;1996-08-16;1750;NE;25;Gamssteig - Schuttrinne
4052;1996-08-16;1745;SE;35;Gasmssteig, Felswand - Fuß
4053;1996-08-16;1720;SE;30;Aflenzer Staritzen, Gamssteig
4054;1996-08-16;1670;SE;30;Aflenzer Staritzen, Gamssteig
4055;1996-08-16;1520;SE;30;Aflenzer Staritzen, etwas westlich 4024, Gamssteig
4056;1996-08-17;1450;SE;35;Seeleiten am direkten Steig
4057;1996-08-19;1595;sw;25;Am Weg Edelboden - Schiestelhaus, Kar vor der Samstatt
4058;1996-08-19;1640;N;30;Kar vor Samstatt, Edelbodenalm - Schiestelhaus
4059;1996-08-19;1700;NE;70;Samstatt, am Weg
4060;1996-08-19;1745;N;20;Samstatt
4061;1996-08-19;1870;W;15;Samstatt, oberer Bereich
4062;1996-08-19;1855;N;35;Samstatt,oberer Bereich
4063;1996-08-19;1860;KEX;0;Samstatt, oberer Bereich
4064;1996-08-19;1865;N;30;Dolinenreihe über Samstatt
4065;1996-08-19;1950;NW;20;Über Samstatt, Rasenhänge zum Weihbrunnkessel
