taxon;layer;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54
Acer platanoides;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;tl;1;;;2a;;;+;;;;;;;;;1;2a;1;;;;;;;;;;;;;;1;1;;2a;2a;;;;;;;;;;3;2a;2a;;;;;+;
Amelanchier ovalis;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betula pendula;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpinus betulus;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;
Corylus avellana ;tl;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;2a;;;2a;;;;;;;;;;;;;;;;;;;;3;
Cotoneaster tomentosus;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fagus sylvatica;tl;4;2a;+;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;2a;;;;;;;;;;;;;;;2b;;2b;3;;;;;
Frangula alnus;tl;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fraxinus excelsior;tl;;;;;;;;;;;;;;+;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2b;;2b;1;2b;;;2b;
Ilex aquifolium;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;
Larix decidua;tl;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2b;;;1;;;2a
Picea abies;tl;1;2b;+;2a;1;1;1;;;;;;;;2a;1;2a;2a;2a;3;;;;1;;;;;3;2b;2a;2a;;1;2a;;;2a;;;;;;2a;;;;;;;;2b;;1
Pinus sylvestris;tl;;;;;3;1;;;;;;;;;;;+;;2a;;;;;;;;;;2b;2a;;2b;;2a;;;1;2b;;;;;;;;;;;;;2a;2a;;
Prunus avium;tl;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;+;+;;;;;;;;;;;;;2a;;;;;;2a;;;;
Rhamnus cathartica;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
Salix appendiculata;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix eleagnos;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix purpurea;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorbus aria;tl;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;2a;2a;2a;;;;
Sorbus aucuparia;tl;;;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taxus baccata;tl;;2a;+;3;;1;1;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;2a;2a;;2a;;;;;;;;;;;;;;;;
Tilia cordata;tl;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2a;;;3;2b;;;;;
