plot,cov,mcov,hcov,lcov,bare,type,expo,slope,slope.verbode,stones,date,latitude,longitude,accuracy,elevation,alliance.code,alliance,association,bay.komp.v.type,comment,location,observer,soil,t1cov,t2cov,scov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,remarks
nber001,,,,,,meadow,WNW,17,moderate,0,2024-05-12,48.569289,13.576727,5,294,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,0,0,0,,,5,5,Veg_P1
nber002,,,,,,meadow,WNW,17,moderate,0,2024-05-12,48.569920,13.577108,5,294,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,1,1,1,,,5,5,Veg_P2
nber003,,,,,,meadow,WSW,1,flat,0,2024-05-12,48.575567,13.579055,5,298,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,2,2,2,,,5,5,Veg_P9.3
nber004,85,1,80,50,15,meadow,WSW,2,flat,0,2024-05-12,48.576166,13.579353,5,298,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,3,3,3,,,5,5,Veg_P9.1
nber005,98,10,80,50,2,meadow,NNW,2,flat,0,2024-05-24,48.578434,13.580738,5,302,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,4,4,4,,,5,5,Veg_P10
nber006,75,10,70,25,3,meadow,WSW,4,very gentle,0,2024-05-21,48.612458,13.579617,5,348,,,,G11,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,5,5,5,,,5,5,Veg_P17.1
nber007,85,25,60,40,3,meadow,W,2,flat,0,2024-05-21,48.612940,13.579311,5,349,,,,G211,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,6,6,6,,,5,5,Veg_P18.5
nber008,90,10,80,40,2,meadow,WSW,2,flat,0,2024-05-21,48.612966,13.579091,5,348,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213-GX00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,7,7,7,,,5,5,Veg_P18.6
nber009,65,5,62,75,2,meadow,W,1,flat,0,2024-05-21,48.613101,13.579190,5,349,,,,G211,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,8,8,8,,,5,5,Veg_P18.4
nber010,85,3,60,80,2,meadow,WSW,1,flat,0,2024-05-21,48.613345,13.579234,5,349,,,,G211,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,9,9,9,,,5,5,Veg_P18.3
