taxon;matched.taxon;abbr
Carex atrofusca;Carex atrofusca;care atro
Carex bicolor;Carex bicolor;care bico
Kobresia simpliciuscula;Kobresia simpliciuscula;kobr simp
Tofieldia pusilla;Tofieldia pusilla;tofi pusi
Saxifraga aizoides;Saxifraga aizoides;saxi aizo
Persicaria vivipara;Persicaria vivipara;pers vivi
Carex firma;Carex firma;care firm
Saxifraga oppositifolia;Saxifraga oppositifolia ssp. oppositifolia;saxi oppo oppo
Pedicularis rostrato-capitata;Pedicularis rostratocapitata ssp. rostratocapitata;pedi rost tata
Carex frigida;Carex frigida;care frig
Parnassia palustris;Parnassia palustris;parn palu
Cratoneuron falcatum;Palustriella commutata var. falcata;palu comm falc
Aster bellidiastrum;Bellidiastrum michelii;bell mich
Pinguicula aipina;Pinguicula alpina;ping alpi
Agrostis aipina;Agrostis alpina s.str.;agro alpi
Salix serpyllifolia;Salix serpyllifolia;sali serp
Euphrasia salisburgensis;Euphrasia salisburgensis s.str.;euph sali
Sesleria albicans;Sesleria caerulea s.str.;sesl caer
Kobresia myosuroides;Kobresia myosuroides;kobr myos
Linaria aipina;Linaria alpina ssp. alpina;lina alpi alpi
Festuca pumila;Festuca pumila;fest pumi
Salix retusa;Salix retusa s.str.;sali retu
Salix reticulata;Salix reticulata;sali reti
Gentiana prostrata;Gentiana prostrata;gent pros
Saxifraga caesia;Saxifraga caesia;saxi caes
Carex parviflora;Carex parviflora;care parv
Silene exscapa;Silene acaulis ssp. exscapa;sile acau exsc
Minuartia sedoides;Minuartia sedoides;minu sedo
