plot;species;layer;cov;voucher;comment;history
john101;Achillea millefolium agg.;hl;3;;;
john101;Agrostis capillaris;hl;10;;;
john101;Ajuga reptans;hl;+;;;
john101;Alchemilla crinita;hl;+;;;
john101;Alchemilla monticola;hl;+;;;
john101;Anthoxanthum alpinum;hl;10;;;
john101;Arnica montana;hl;+;;;
john101;Briza media;hl;+;;;
john101;Campanula barbata;hl;+;;;
john101;Cardaminopsis halleri;hl;5;;;
john101;Carex leporina;hl;2;;;
john101;Carex ornithopoda;hl;+;;;
john101;Carex pallescens;hl;3;;;
john101;Carex sylvatica;hl;3;;;
john101;Carlina acaulis;hl;3;;;
john101;Carum carvi;hl;2;;;
john101;Centaurea pseudophrygia;hl;5;;;
john101;Cerastium arvense;hl;+;;;
john101;Chaerophyllum villarsii;hl;3;;;
john101;Crepis aurea;hl;+;;;
john101;Cruciata laevipes;hl;+;;;
john101;Cynosurus cristatus;hl;2;;;
john101;Dactylis glomerata;hl;+;;;
john101;Dactylorhiza maculata;hl;+;;;
john101;Deschampsia cespitosa;hl;+;;;
john101;Euphorbia austriaca;hl;3;;;
john101;Festuca rubra agg.;hl;20;;;
john101;Galium anisophyllon;hl;+;;;
john101;Geranium phaeum;hl;+;;;
john101;Gnaphalium sylvaticum;hl;3;;;
john101;Gymnadenia conopsea;hl;1;;;
john101;Hieracium aurantiacum;hl;+;;;
john101;Hieracium pilosella;hl;+;;;
john101;Hieracium sp.;hl;+;;;
john101;Hypericum maculatum;hl;+;;;
john101;Leontodon hispidus;hl;3;;;
john101;Leucanthemum ircutianum;hl;+;;;
john101;Lotus corniculatus;hl;3;;;
john101;Luzula multiflora;hl;+;;;
john101;Lychnis flos-cuculi;hl;+;;;
john101;Lysimachia nummularia;hl;+;;;
john101;Meum athamanticum;hl;+;;;
john101;Myosotis sp.;hl;+;;;
john101;Nardus stricta;hl;5;;;
john101;Persicaria vivipara;hl;+;;;
john101;Phleum rhaeticum;hl;5;;;
john101;Phyteuma spicatum;hl;+;;;
john101;Pimpinella major;hl;10;;;
john101;Plantago lanceolata;hl;3;;;
john101;Plantago major;hl;+;;;
john101;Poa annua;hl;+;;;
john101;Poa pratensis;hl;+;;;
john101;Poa trivialis;hl;+;;;
john101;Polygala alpestris;hl;+;;;
john101;Potentilla aurea;hl;3;;;
john101;Potentilla erecta;hl;+;;;
john101;Prunella vulgaris;hl;2;;;
john101;Pseudorchis albida;hl;+;;;
john101;Ranunculus acris;hl;+;;;
john101;Ranunculus nemorosus;hl;+;;;
john101;Ranunculus repens;hl;+;;;
john101;Rhinanthus sp.;hl;+;;;
john101;Senecio subalpinus;hl;2;;;
john101;Silene dioica;hl;+;;;
john101;Solidago virgaurea;hl;+;;;
john101;Stellaria graminea;hl;+;;;
john101;Taraxacum officinale agg.;hl;+;;;
john101;Thymus pulegioides;hl;+;;;
john101;Trifolium pratense;hl;5;;;
john101;Trifolium repens;hl;5;;;
john101;Trollius europaeus;hl;+;;;
john101;Vaccinium myrtillus;hl;r;;;
john101;Veratrum album;hl;30;;;
john101;Veronica chamaedrys;hl;+;;;
john101;Veronica officinalis;hl;1;;;
john101;Vicia cracca;hl;+;;;
john101;Vicia sepium;hl;+;;;
john102;Achillea millefolium agg.;hl;3;;;
john102;Agrostis capillaris;hl;5;;;
john102;Ajuga reptans;hl;3;;;
john102;Alchemilla crinita;hl;+;;;
john102;Alchemilla monticola;hl;+;;;
john102;Anemone nemorosa;hl;+;;;
john102;Anthoxanthum alpinum;hl;10;;;
john102;Arnica montana;hl;+;;;
john102;Briza media;hl;+;;;
john102;Calamagrostis villosa;hl;+;;;
john102;Campanula barbata;hl;+;;;
john102;Campanula scheuchzeri;hl;+;;;
john102;Cardaminopsis halleri;hl;5;;;
john102;Carex caryophyllea;hl;+;;;
john102;Carex ornithopoda;hl;+;;;
john102;Carex pallescens;hl;+;;;
john102;Carex sylvatica;hl;+;;;
john102;Carlina acaulis;hl;3;;;
john102;Carum carvi;hl;+;;;
john102;Centaurea pseudophrygia;hl;5;;;
john102;Cerastium arvense;hl;+;;;
john102;Chaerophyllum villarsii;hl;+;;;
john102;Crepis aurea;hl;+;;;
john102;Cruciata laevipes;hl;+;;;
john102;Cynosurus cristatus;hl;+;;;
john102;Dactylis glomerata;hl;+;;;
john102;Dactylorhiza maculata;hl;+;;;
john102;Deschampsia cespitosa;hl;+;;;
john102;Euphorbia austriaca;hl;+;;;
john102;Festuca rubra agg.;hl;20;;;
john102;Gentiana punctata;hl;+;;;
john102;Geranium phaeum;hl;+;;;
john102;Gnaphalium sylvaticum;hl;+;;;
john102;Gymnadenia conopsea;hl;+;;;
john102;Hieracium pilosella;hl;+;;;
john102;Hypericum maculatum;hl;+;;;
john102;Leontodon hispidus;hl;+;;;
john102;Leucanthemum ircutianum;hl;+;;;
john102;Lotus corniculatus;hl;3;;;
john102;Luzula multiflora;hl;2;;;
john102;Lychnis flos-cuculi;hl;+;;;
john102;Lysimachia nemorum;hl;+;;;
john102;Myosotis sp.;hl;+;;;
john102;Nardus stricta;hl;15;;;
john102;Orchis mascula;hl;+;;;
john102;Persicaria vivipara;hl;+;;;
john102;Phleum rhaeticum;hl;5;;;
john102;Phyteuma spicatum;hl;+;;;
john102;Pimpinella major;hl;+;;;
john102;Plantago lanceolata;hl;3;;;
john102;Plantago major;hl;+;;;
john102;Poa alpina;hl;+;;;
john102;Poa annua;hl;+;;;
john102;Poa pratensis;hl;+;;;
john102;Polygala alpestris;hl;+;;;
john102;Potentilla aurea;hl;10;;;
john102;Potentilla erecta;hl;+;;;
john102;Prunella vulgaris;hl;+;;;
john102;Pseudorchis albida;hl;2;;;
john102;Ranunculus acris;hl;+;;;
john102;Ranunculus repens;hl;+;;;
john102;Senecio subalpinus;hl;+;;;
john102;Silene dioica;hl;+;;;
john102;Taraxacum officinale agg.;hl;+;;;
john102;Thymus pulegioides;hl;2;;;
john102;Trifolium pratense;hl;5;;;
john102;Trifolium repens;hl;5;;;
john102;Trollius europaeus;hl;+;;;
john102;Vaccinium myrtillus;hl;+;;;
john102;Veratrum album;hl;40;;;
john102;Veronica chamaedrys;hl;2;;;
john102;Veronica serpyllifolia;hl;+;;;
