plot;variable;value
bm01;cov;98
bm01;hcov;90
bm01;mcov;60
bm01;hhl1;0.6
bm01;hhl2;0.1
bm01;plsx;3
bm01;plsy;3
bm01;exp;SW
bm01;slope;3
bm01;soil;peat
bm01;date;2007-07-06
bm01;longitude;12.929819E
bm01;latitude;47.998459N
bm01;accuracy;5
bm01;location;ESG Bürmoos
bm02;cov;95
bm02;hcov;75
bm02;mcov;95
bm02;hhl1;0.9
bm02;hhl2;0.2
bm02;soil;peat
bm02;hydro;wet
bm02;plsx;4
bm02;plsy;6
bm02;date;2009-21-05
bm02;longitude;12.929439E
bm02;latitude;47.997982N
bm02;accuracy;5
bm02;location;ESG Bürmoos
bm03;cov;100
bm03;hcov;70
bm03;mcov;90
bm03;hhl1;0.9
bm03;hhl2;0.1
bm03;plsx;4
bm03;plsy;4
bm03;soil;peat
bm03;date;2009-21-05
bm03;longitude;12.929462E
bm03;latitude;47.997860N
bm03;accuracy;5
bm03;location;ESG Bürmoos
bm04;cov;100
bm04;hcov;60
bm04;mcov;95
bm04;hhl1;1
bm04;hhl2;0.2
bm04;plsx;3
bm04;plsy;6
bm04;date;2009-21-05
bm04;longitude;12.929327E
bm04;latitude;47.997814N
bm04;accuracy;5
bm04;location;ESG Bürmoos
bm05;cov;100
bm05;hcov;30
bm05;mcov;95
bm05;hhl1;1
bm05;hhl2;0.1
bm05;plsx;5
bm05;plsy;7
bm05;soil;peat
bm05;date;2009-21-05
bm05;longitude;12.928720E
bm05;latitude;47.997734N
bm05;accuracy;5
bm05;location;ESG Bürmoos
bm06;cov;99
bm06;hcov;97
bm06;mcov;20
bm06;hhl1;0.45
bm06;hhl2;0.2
bm06;plsx;4
bm06;plsy;4
bm06;soil;shallow peat
bm06;date;2013-05-12
bm06;longitude;12.919522E
bm06;latitude;47.996496N
bm06;accuracy;10
bm06;location;ESG Bürmoos
bm07;cov;
bm07;t1cov;70
bm07;scov;50
bm07;hcov;97
bm07;mcov;45
bm07;htl1;20
bm07;hsl;50
bm07;hhl1;0.3
bm07;hhl2;0.5
bm07;plsx;16
bm07;plsy;16
bm07;expo;F
bm07;slope;0
bm07;date;2013-05-12
bm07;soil;peat
bm07;comment;
bm07;latitude;47.995874N
bm07;longitude;12.918699E
bm07;accuracy;10
bm01;observer;R. Kaiser
bm02;observer;R. Kaiser
bm03;observer;R. Kaiser
bm04;observer;R. Kaiser
bm05;observer;R. Kaiser
bm06;observer;R. Kaiser
bm07;observer;R. Kaiser
