plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;site;location;description;observer
nb18;85;0;0;0;;;0;0;0;;;1;2;E;2;0;15;0;2014-09-07;47.067506;13.458077;10;Caricion bicoloris-atrofuscae;Astero bellidiastrum-Kobresietum simpliciusculae;;;K11-01;Lieserursprung;Niedermoor-Quellflurkomplex mit Schwemmlandfragmenten beim Lieserursprung;H. Wittmann
nb19;20;0;0;0;;;0;0;0;;;1;0,5;N;2;0;80;0;2014-08-16;46.896317;13.790456;30;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;feuchtes Material unterschiedlicher Fraktionen von ca. 4 cm Durchmesser bis sandig, zum Teil Viehtritte auf 80% der Fläche;K16-01;Nockalmstraße;Niedermoor-Weiderasen-Schwemmlandkomplex bei Kehre 35 der Nockalmstraße;H. Wittmann
nb20;50;0;0;0;;;0;0;0;;;1;0,5;E;3;0;50;0;2014-08-16;46.894689;13.786808;20;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Fläche K16-02f;K16-02;Nockalmstraße;Niedermoor-Weiderasen-Schwemmlandkomplex südwestlich Kehre 36 der Nockalmstraße;H. Wittmann
nb21;20;0;0;0;;;0;0;0;;;1,5;0,5;N;3;0;80;0;2014-08-16;46.893795;13.788139;20;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Fläche K16-02b;K16-02;Nockalmstraße;Niedermoor-Weiderasen-Schwemmlandkomplex südwestlich Kehre 36 der Nockalmstraße;H. Wittmann
nb22;20;0;0;0;;;0;0;0;;;1;0,5;N;3;0;80;0;2014-08-16;46.892021;13.790662;50;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Fläche K16-03a, Rest Wasser und Steine auf 80 % der Fläche;K16-03;Nockalmstraße;Niedermoor-Weiderasen-Schwemmlandkomplex nördlich unterhalb der Schiestlscharte;H. Wittmann
nb23;30;0;0;0;;;0;0;0;;;1;1;NE;2;0;70;0;2014-08-16;46.890613;13.792228;100;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;;K16-04;Nockalmstraße;Niedermoor-Weiderasen-Schwemmlandkomplex westlich unterhalb der Schiestlscharte;H. Wittmann
nb24;30;0;0;0;;;0;0;0;;;1;0,5;N;3;0;70;0;2014-08-17;46.882261;13.800361;20;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;;K17-01;Klomnock;Niedermoor-Schwemmland-Komplex an den Ostabhängen des Klomnocks 170 m südlich der Almhütte;H. Wittmann
nb25;70;0;0;0;;;0;0;0;;;0,5;0,5;W;3;0;30;0;2014-08-28;46.902841;13.887080;50;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Fläche K19-01b, Rest Wasserstellen (wahrscheinlich durch Viehtritt) auf 30 % der Fläche von;K19-01;Turracher Höhe;Niedermoor mit Schwemmlandanteilen südlich der Katscherhütte;H. Wittmann
nb26;30;0;0;0;;;0;0;0;;;0,5;0,5;N;10;0;70;0;2014-08-25;46.914056;13.899976;50;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Rest offener Boden, sandig-kiesig auf 70 % der Fläche;K20-01;Weitentalhütte-Gesgeralm;Weiderasen-Niedermoor-Schwemmlandkomplex Weitentalhütte;H. Wittmann
nb27;40;0;0;0;;;0;0;0;;;1;1;N;10;0;60;0;2014-08-25;46.914305;13.901071;50;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Lückiges Caricetum goodenowii mit relativ reichlich Juncus castaneus;K20-02;Weitentalhütte-Gesgeralm;Niedermoor-Schwemmlandkomplex 0,3 km südlich der Gesgeralm;H. Wittmann
nb28;30;0;0;0;;;0;0;0;;;1;2;N;2;0;70;0;2014-08-25;46.923758;13.914503;50;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Rest Wasser und Steine 70 % der Fläche;K20-03;Gillendorferalm;Niedermoor-Schwemmland-Zirbenwaldkomplex 0,4 km westsüdwestlich der Gillendorferalm;H. Wittmann
nb29;50;0;0;0;;;0;0;0;;;0,5;1;NE;10;0;50;0;2014-08-25;46.924359;13.919631;30;Caricion bicoloris-atrofuscae;Juncus castaneus-Gesellschaft;;Rest offene Wasserflächen und Trittsiegel von Weidevieh auf 50 % der Fläche;K20-04;Gillendorferalm;Niedermoor-Schwemmlandkomplex unmittelbar östlich am Bachlauf bei der Gillendorferalm;H. Wittmann
