BEGIN HEADER

RELEVE NO.          | 5 . 5 5 5 2 5 . 5 5 . 5 5 2 . 9 | 5 5 5 5 5 5 5 5 5 5 5 5 | . . . | 5 . 5 . | . . | 5 5 5 8 8 5 . 8 7 | 7 5 7 5 9 . . | 9 9 4 7 9 9 9 | 7 7 7 9 9 | . 8 7 7 7 8 7 9 9 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 7 7 7 8 . 7 . . | . 7 9 7 7 9 4
                    | 1 2 1 1 1 8 1 3 1 1 3 1 1 8 3 1 | 1 1 1 1 1 1 1 1 1 1 1 1 | 2 2 2 | 1 3 1 3 | 2 2 | 0 0 0 0 0 0 1 0 0 | 0 0 0 0 0 2 1 | 1 0 2 0 2 2 2 | 0 0 0 0 0 | 1 0 0 0 0 0 0 2 2 | 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 | 1 1 1 1 1 1 1 1 1 1 1 1 7 1 1 1 1 1 1 | 1 7 7 7 7 7 7 7 7 7 | 0 0 0 0 1 0 1 1 | 2 0 0 0 0 1 2
                    | 2 1 1 4 2 0 0 0 2 1 7 3 2 0 1 0 | 2 3 4 4 1 2 1 1 4 5 5 1 | 2 2 2 | 3 6 3 9 | 4 4 | 7 6 6 1 2 4 3 3 0 | 5 0 3 0 1 1 3 | 0 0 0 0 1 1 1 | 1 2 2 1 1 | 1 0 0 3 1 4 5 0 0 | 2 2 2 2 2 1 3 2 2 1 3 3 3 3 2 3 3 | 0 0 1 1 0 0 0 2 0 0 0 2 2 0 1 1 1 1 1 | 7 0 0 1 3 1 2 3 0 0 | 3 3 3 1 7 3 7 6 | 1 4 3 4 3 0 0
                    | 4 3 7 2 5 9 6 3 8 9 9 4 9 6 5 4 | 2 0 4 5 3 3 4 6 3 5 6 2 | 6 8 7 | 6 3 5 1 | 0 1 | 1 8 7 8 1 9 7 4 5 | 6 7 9 6 4 8 8 | 2 5 1 4 1 2 4 | 9 4 0 7 8 | 3 2 6 3 6 2 4 5 6 | 3 4 2 9 6 8 2 5 8 2 5 6 0 1 7 4 3 | 7 4 0 6 8 2 6 0 5 1 9 1 3 3 4 9 1 7 5 | 0 7 1 1 0 2 0 2 8 9 | 1 4 5 3 2 6 1 9 | 6 8 0 6 2 0 2

RELEVE GROUP NO.    | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | 1 1 1 1 1 1 1 1 1 | 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 | 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 | 1 1 1 1 1 1 1 1 1 1 | 1 1 1 1 1 1 1 1 | 1 1 1 1 1 1 1
                    | 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 | 2 2 2 2 2 2 2 2 2 2 2 2 | 3 3 3 | 4 4 4 4 | 5 5 | 6 6 6 6 6 6 6 6 6 | 7 7 7 7 7 7 7 | 8 8 8 8 8 8 8 | 9 9 9 9 9 | 0 0 0 0 0 0 0 0 0 | 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 | 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 | 3 3 3 3 3 3 3 3 3 3 | 4 4 4 4 4 4 4 4 | 5 5 5 5 5 5 5

MEERESHOEHE (M).    | 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . | 1 1 1 1 1 1 1 1 1 1 . 1 | 1 1 1 | 1 1 . . | 1 1 | 1 1 1 . . . . . . | . . . . . . . | . . . . 8 9 9 | . . . . . | . . . . . . . 5 5 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
                    | 1 4 1 1 1 2 2 0 1 2 3 2 1 0 9 9 | 1 1 1 1 2 0 1 1 2 0 9 2 | 4 5 3 | 2 1 0 9 | 1 0 | 1 0 0 8 5 6 4 4 6 | 8 5 8 5 5 5 4 | 7 6 4 6 3 1 8 | 4 4 4 4 4 | 5 5 4 4 5 5 5 9 9 | 4 5 4 4 4 5 7 4 6 4 6 7 5 6 4 6 6 | 4 4 5 6 5 4 5 4 6 4 5 4 7 5 4 4 4 5 5 | 6 4 5 5 7 4 6 5 4 5 | 7 8 7 7 5 6 6 6 | 8 7 5 6 6 4 4
                    | 7 1 7 6 7 5 6 7 6 0 7 5 8 6 0 8 | 9 8 0 7 8 3 2 7 5 5 4 6 | 0 4 7 | 2 3 8 8 | 7 0 | 2 7 6 4 7 7 5 5 2 | 4 1 5 0 4 2 6 | 7 6 4 7 0 0 0 | 6 8 8 8 7 | 5 9 7 5 5 2 1 0 0 | 5 1 4 8 4 8 7 5 1 4 0 4 2 6 5 2 3 | 5 8 7 5 5 6 5 3 5 9 0 5 1 1 9 4 5 3 2 | 5 8 3 6 1 6 6 6 9 7 | 4 2 8 2 0 0 5 0 | 4 7 9 0 8 9 9
